product_id,title,description,price,discount
79,Orange Pro Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",58.65,15
80,Blue Ultra Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,167.48,5
81,Black Max Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,990.3,15
82,Blue Lite Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,449.53,25
83,Orange Pro Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,903.74,5
84,Navy Elite Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",580.22,15
85,Orange Premium Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,540.88,0
86,Red Lite Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",929.35,30
87,Silver Active Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",678.14,0
88,Blue Sport Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,917.93,5
89,Red Ultra Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",447.52,5
90,White Max Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,38.46,0
91,Pink Plus Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,982.02,0
92,Pink Lite Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,978.38,0
93,Silver Pro Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,149.12,15
94,Green Plus Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,489.48,5
95,Pink Sport Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,266.33,15
96,White Pro Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,232.63,0
97,Silver Active Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,785.33,0
98,Green Active Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,550.7,0
99,White Pro Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",251.35,25
100,Red Ultra Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,307.03,0
101,Navy Active Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,175.27,20
102,Navy Max Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,896.79,20
103,Gray Flex Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,805.27,10
104,Red Elite Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",174.76,25
105,Red Lite Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,668.79,5
106,Green Lite Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",824.35,25
107,Silver Lite Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",949.79,20
108,Navy Lite Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,866.65,20
109,Orange Ultra Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",175.4,10
110,Pink Pro Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,901.59,25
111,Red Lite Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,497.1,5
112,Green Elite Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,615.73,20
113,Navy Max Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,151.69,30
114,Green Elite Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,386.71,20
115,Pink Premium Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,643.49,0
116,Orange Active Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,566.29,30
117,Green Active Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,367.44,20
118,Red Elite Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,128.97,30
119,Orange Max Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",975.01,30
120,Silver Lite Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,617.22,10
121,Red Pro Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,771.45,20
122,Silver Lite Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,82.29,20
123,Navy Sport Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,873.44,15
124,Blue Ultra Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",943.74,25
125,Silver Max Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,475.42,25
126,Orange Max Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",365.6,20
127,Black Max Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",800.08,25
128,Silver Premium Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,836.62,0
129,Pink Plus Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",320.43,30
130,Green Sport Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,144.99,10
131,Pink Lite Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,596.8,15
132,Red Elite Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,164.2,0
133,Gray Plus Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,497.42,20
134,Orange Pro Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,266.9,0
135,Blue Pro Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,944.87,25
136,Blue Ultra Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,179.15,30
137,Navy Ultra Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,216.9,0
138,Green Plus Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,193.3,20
139,Silver Flex Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",407.7,10
140,Navy Plus Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,492.94,5
141,Orange Elite Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,28.5,5
142,Gray Lite Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,531.81,20
143,Green Pro Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,42.9,0
144,Black Flex Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",627.1,5
145,Blue Flex Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,405.18,20
146,Black Sport Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",134.44,20
147,Green Sport Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",290.75,25
148,Red Lite Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,126.75,15
149,White Flex Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",928.74,25
150,Orange Elite Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,951.74,0
151,Pink Lite Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,47.75,0
152,Gray Active Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,881.93,15
153,Navy Max Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,597.51,20
154,Blue Sport Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,279.65,20
155,Black Active Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,635.2,10
156,Black Lite Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,326.04,15
157,Gray Sport Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,18.5,20
158,Black Active Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,366.89,10
159,Red Lite Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",421.02,20
160,Green Elite Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,316.78,10
161,White Sport Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,781.71,20
162,Navy Plus Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,350.49,0
163,Red Max Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,495.1,15
164,Red Max Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",844.7,5
165,Navy Sport Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,15.78,30
166,Orange Flex Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",980.79,10
167,Pink Sport Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",583.56,20
168,Pink Lite Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,214.96,0
169,Gray Ultra Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",585.08,0
170,White Plus Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,691.87,0
171,Gray Premium Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,271.45,25
172,Silver Active Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,844.9,25
173,Red Sport Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,96.54,20
174,White Sport Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,839.92,15
175,Green Max Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,60.95,25
176,Pink Flex Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,800.09,15
177,Blue Premium Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,904.89,0
178,Navy Pro Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,926.05,20
179,Gray Flex Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",558.48,5
180,Green Active Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,175.42,10
181,Green Elite Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,302.16,25
182,Blue Lite Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,799.28,25
183,Silver Active Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,455.27,20
184,Gray Sport Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",31.57,25
185,White Premium Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,317.14,10
186,Gray Elite Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",628.82,20
187,Pink Elite Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",98.35,25
188,Orange Ultra Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,776.74,10
189,Green Plus Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",241.48,15
190,Pink Premium Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,988.1,20
191,Green Plus Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,844.28,10
192,Green Pro Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,226.49,25
193,Red Plus Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,308.16,5
194,Blue Flex Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,621.19,20
195,Pink Lite Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,834.14,20
196,Black Plus Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,181.87,30
197,Silver Lite Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,249.39,15
198,Gray Plus Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,943.89,25
199,Navy Lite Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",477.5,0
200,Navy Elite Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,879.16,15
201,Silver Active Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,348.37,15
202,White Plus Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,628.53,5
203,Pink Ultra Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,222.81,30
204,Red Premium Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",677.68,5
205,Navy Sport Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,105.76,30
206,White Pro Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",531.73,15
207,Navy Sport Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",162.68,10
208,Blue Pro Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,662.15,0
209,White Premium Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",51.62,5
210,Navy Lite Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,747.61,20
211,White Lite Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,977.53,20
212,Pink Premium Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,31.32,20
213,Black Sport Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,812.18,20
214,Blue Elite Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,986.74,20
215,Blue Pro Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,409.25,0
216,Blue Max Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,88.24,25
217,Orange Plus Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,674.89,0
218,Red Flex Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,398.27,5
219,Blue Flex Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",513.11,5
220,White Ultra Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,74.84,25
221,White Plus Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,537.79,15
222,Blue Active Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,411.39,0
223,Red Ultra Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,894.98,0
224,Blue Elite Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",848.9,20
225,Pink Plus Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,522.39,15
226,Orange Elite Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",714.19,5
227,Blue Flex Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",107.33,15
228,Navy Premium Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,315.29,0
229,Red Pro Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",111.45,30
230,Orange Pro Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,224.56,15
231,Pink Active Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,934.99,15
232,Gray Pro Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,837.43,30
233,Orange Plus Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,340.51,0
234,White Pro Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,784.14,5
235,Black Sport Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,453.62,0
236,Pink Plus Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,990.41,0
237,Orange Ultra Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,765.8,5
238,White Plus Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,72.71,10
239,White Flex Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",420.24,20
240,White Elite Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,287.3,0
241,Gray Max Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,290.58,30
242,Gray Lite Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,942.41,20
243,Orange Flex Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,801.05,15
244,Gray Active Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",688.31,30
245,Silver Plus Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,673.19,30
246,Gray Pro Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",392.56,10
247,Red Max Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",17.11,30
248,White Flex Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,401.86,0
249,Silver Active Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",583.14,25
250,Navy Premium Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,505.36,10
251,Gray Sport Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,763.79,30
252,Black Ultra Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,551.04,15
253,Silver Premium Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,94.06,15
254,Green Premium Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,740.35,15
255,Silver Flex Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,635.9,30
256,Black Active Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,692.59,10
257,Blue Flex Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,549.78,25
258,Orange Plus Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,65.91,30
259,Gray Flex Wireless Mouse,"Ergonomic design with silent clicks, 3 DPI levels, and 18-month battery.",839.82,0
260,Green Ultra Jump Rope,Speed jump rope with ball bearings and adjustable cable for all fitness levels.,593.98,25
261,Gray Premium Wireless Headphones,Experience premium sound with active noise cancellation and 30-hour battery life.,449.34,25
262,Gray Premium Running Shoes,Lightweight and breathable shoes designed for long-distance running and daily training.,906.23,20
263,Navy Max Stainless Steel Water Bottle,Keep drinks cold for 24 hours or hot for 12 hours with double-wall insulation.,312.19,20
264,Red Active Yoga Mat,"Non-slip surface with alignment lines, ideal for yoga, pilates, and floor exercises.",514.71,30
265,Blue Max Laptop Stand,Adjustable aluminum stand for ergonomic laptop positioning and improved airflow.,99.48,20
266,Green Elite Bluetooth Speaker,"360-degree sound with IPX7 waterproof rating, perfect for outdoor adventures.",698.29,15
267,Blue Lite Smart Watch,"Track fitness, heart rate, sleep, and notifications with a 7-day battery life.",329.04,20
268,Pink Plus Coffee Maker,Brew up to 12 cups with programmable timer and built-in grinder.,432.6,20
269,Orange Sport Air Purifier,"HEPA filter removes 99.97% of dust, pollen, and airborne particles.",763.04,20
270,Pink Lite Mechanical Keyboard,Tactile switches with RGB backlight and N-key rollover for precise input.,798.49,30
271,Green Premium Resistance Bands Set,5-level resistance bands for full-body strength training at home or gym.,704.1,10
272,Gray Plus Portable Charger,20000mAh power bank with dual USB-C ports and fast charging support.,167.96,0
273,Gray Elite Sunglasses,UV400 polarized lenses with lightweight titanium frame for all-day comfort.,990.82,25
274,Green Max Electric Toothbrush,5 brushing modes with smart timer and 3-month battery life.,119.07,10
275,Red Sport Desk Lamp,LED lamp with adjustable color temperature and USB charging port built in.,469.02,15
276,White Pro Backpack,Water-resistant 30L backpack with padded laptop compartment and ergonomic straps.,497.13,10
277,Blue Ultra Non-stick Pan,PFOA-free ceramic coating with stay-cool handle and induction compatibility.,452.08,5
278,Silver Sport Foam Roller,High-density foam for deep tissue massage and post-workout muscle recovery.,957.19,15
